Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
WINGS ACADEMY                                   ,1114,153.45,24.54705882,538,4.5,1.3,55,1.3,42.2,53.7,46.3,12,5.9
MONROE ACADEMY FOR VISUAL ARTS                  ,1038,153.45,22.2,466,28.8,0.9,20.4,1.3,77.5,52.6,47.4,12,6.7
JHS 265 SUSAN S. MCKINNEY                       ,1074,153.45,21.44375,443,4.3,0.5,72,1.8,24.6,37,63,13,6.1
THE URBAN ASSEMBLY SCHOOL OF MUSIC AND ART      ,1080,153.45,22.16923077,431,4.6,1.9,73.3,0.9,22.7,42.7,57.3,13,6.5
BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATIONS,1114,153.45,25.2,462,2.4,0.6,79.2,1.3,17.1,45.5,54.5,13,6.1
SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE   ,1211,153.45,27.16111111,517,7,7.2,77.8,2.1,12.2,56.1,43.9,13,6
BROOKLYN TECHNICAL HIGH SCHOOL                  ,1833,2687,32.45263158,5332,0.1,60.3,10.2,21.3,7.9,58.3,41.7,13,7
BROOKLYN INTERNATIONAL HIGH SCHOOL              ,981,153.45,19.58571429,367,83.1,42.5,20.2,8.7,28.6,48.2,51.8,13,7.9
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE   ,1206,24,22.22142857,450,0.9,0.9,79.1,1.1,17.1,39.6,60.4,13,6.8
ACORN COMMUNITY HIGH SCHOOL                     ,1116,153.45,27.15333333,731,2.9,1.2,84.7,0.8,12.2,55.8,44.2,13,6
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR,1223.438806,153.45,24.9,469,1.5,5.1,79.3,2.6,11.7,0,100,13,5.8
BEDFORD ACADEMY HIGH SCHOOL                     ,1312,16,21.79375,367,1.1,2.7,89.4,0.3,7.1,49,51,13,6.6
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATI,1189,153.45,26.7375,927,1.9,2.8,79.8,1.3,15.3,75.5,24.5,13,5.5
BENJAMIN BANNEKER ACADEMY                       ,1391,62,27.89473684,895,0,2.7,87,0.4,8.8,46.1,53.9,13,6.6
CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING     ,1353,153.45,21.37,335,3.6,7.5,58.2,4.5,26.3,79.4,20.6,13,6.4
JUAN MOREL CAMPOS SECONDARY SCHOOL              ,1085,12,30.05,865,24.9,0.2,15.3,3.4,80.6,54.7,45.3,14,6.1
FOUNDATIONS ACADEMY                             ,1223.438806,153.45,20.6,141,5.7,1.4,66.7,1.4,29.8,56.7,43.3,14,6.9
BROOKLYN LATIN                                  ,1740,153.45,23.26,468,0.4,36.8,26.7,14.5,17.9,54.9,45.1,14,7.5
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREE,1189,153.45,23.66153846,392,11.5,2,47.7,2.6,46.9,46.2,53.8,14,6.8
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS   ,1114,153.45,25.8375,1068,16.1,0.7,32.6,1,65.4,48.5,51.5,14,6.4
SCHOOL FOR LEGAL STUDIES                        ,1204,153.45,27.43333333,759,5.7,0.9,57.7,1.7,39.3,45.8,54.2,14,5.4
ENTERPRISE BUSINESS AND TECH HS                 ,1215,19,29.36111111,976,9.9,3.2,39.3,1.9,55.4,65.7,34.3,14,6
BROOKLYN PREPARATORY HIGH SCHOOL                ,1090,7,23.40666667,400,2.7,1.7,58.7,1,37.7,47.7,52.2,14,6.4
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DE,1112,153.45,25.36153846,500,7,1.4,38.4,2.2,57.2,72.6,27.4,14,7.8
WILLIAMSBURG PREPARATORY SCHOOL                 ,1187,153.45,25.38888889,577,2.8,1.6,25.5,11.1,61.5,51,49,14,7.2
LYONS COMMUNITY SCHOOL                          ,1103,153.45,20.7625,527,14.6,1.1,41.7,2.1,54.6,53.7,46.3,14,6.9
AUTOMOTIVE HIGH SCHOOL                          ,1093,153.45,25.56,723,4.7,1.4,66.1,1.7,30.2,95.6,4.4,14,5.3
FRANCES PERKINS ACADEMY                         ,1122,153.45,17.3375,173,9.8,0,64.7,4,31.2,76.9,23.1,14,7.1
EL PUENTE ACADEMY FOR PEACE AND JUSTICE         ,1035,153.45,22.3375,218,17,1.8,10.1,0.5,87.6,42.7,57.3,14,7.8
BROOKLYN SCHOOL FOR GLOBAL STUDIES              ,1111,153.45,25.25714286,354,5.9,2.3,54.5,3.4,39,56.2,43.8,15,6.1
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUD,1179,153.45,23.1,692,4.5,4.3,34.2,12.6,48.1,59.1,40.9,15,6.7
SECONDARY SCHOOL FOR LAW                        ,1203,153.45,25.9,473,6.3,2.5,62.4,5.5,29.6,44.2,55.8,15,5.5
SECONDARY SCHOOL FOR JOURNALISM                 ,1169,153.45,23.77857143,336,16.7,9.2,42,5.4,43.2,42.3,57.7,15,5.8
SECONDARY SCHOOL FOR RESEARCH                   ,1175,153.45,26.7375,394,9.6,8.6,33.2,5.3,51.8,52.8,47.2,15,6.2
SCHOOL FOR INTERNATIONAL STUDIES                ,1212,153.45,23.52666667,486,14.6,6.2,40.9,14,38.9,50.8,49.2,15,6.7
COBBLE HILL SCHOOL OF AMERICAN STUDIES          ,1185,153.45,26.88235294,663,7.5,5.1,71.5,2.3,21,43.9,56.1,15,5.6
BROOKLYN HIGH SCHOOL OF THE ARTS                ,1258,153.45,26.775,678,0.1,1.8,76.5,2.2,19,33.9,66.1,15,6.6
SUNSET PARK HIGH SCHOOL                         ,1223.438806,153.45,26.85555556,988,14.4,4.7,7.8,6.7,80.8,50.7,49.3,15,6.4
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL  ,1068,153.45,22.30769231,439,1.4,0.9,83.6,0.5,14.1,48.7,51.3,16,6.1
BOYS AND GIRLS HIGH SCHOOL                      ,1097,153.45,26.51333333,1631,2.5,0.5,90,0.7,7.8,61.7,38.3,16,6.1
ACORN HIGH SCHOOL FOR SOCIAL JUSTICE            ,1092,153.45,26.64,405,4.7,1,72.8,0,24.9,51.6,48.4,16,6.4
THE BROOKLYN ACADEMY OF GLOBAL FINANCE          ,1223.438806,153.45,21.475,159,6.3,1.9,74.2,2.5,20.8,51.6,48.4,16,4.9
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLO,1139,7,24.81333333,565,5,0.2,92,1.1,6.7,53.8,46.2,17,5.5
ACADEMY OF HOSPITALITY AND TOURISM              ,1045,153.45,25.14166667,319,12.9,1.6,84.3,0.9,12.9,49.8,50.2,17,5.5
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS   ,913,153.45,23.79230769,401,91,28.4,29.2,14.2,27.9,59.1,40.9,17,7.4
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP          ,1176,153.45,26.39375,343,5.2,1.5,89.2,1.5,7.3,50.1,49.9,17,6.1
THE SCHOOL FOR HUMAN RIGHTS                     ,1088,153.45,30.9375,386,6.2,0.8,88.9,1.6,8.3,51.6,48.4,17,6.8
SCHOOL FOR DEMOCRACY AND LEADERSHIP             ,1153,153.45,23.24285714,406,3.7,0.5,89.4,1.5,8.4,52,48,17,5.6
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT ,1027,153.45,23.02,385,9.1,1,87.3,1,9.1,61.6,38.4,17,5.5
HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS   ,1105,153.45,27.87333333,422,8.8,2.1,87,1.7,9,63.3,36.7,17,5.5
SCI TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH  ,1360,153.45,23.09285714,521,0,3.1,83.9,1.3,9.4,53,47,17,6.6
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORR,1273,13,23.11666667,417,0.5,3.6,82.5,0.7,12.2,24.9,75.1,17,6.4
BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT ,1143,153.45,21.38571429,471,6.8,4,79.6,1.5,14.2,54.4,45.6,17,5.7
BROOKLYN SCHOOL FOR MUSIC & THEATRE             ,1151,9,26.0875,412,0.5,1,82.8,1,15.3,32.8,67.2,17,5.9
MIDDLE COLLEGE HIGH SCHOOL AT MEDGAR EVERS COLLE,1436,86,27.57647059,1104,0,0.9,95.7,0,2.8,41.8,58.2,17,5.7
CLARA BARTON HIGH SCHOOL                        ,1251,63,29.25,1608,8.3,1.8,91.2,0.7,5.8,23.8,76.2,17,5.9
ITAVA IT TAKES A VILLAGE ACADEMY               ,963,153.45,20.83157895,382,30.4,1.8,92.9,0.5,4.5,49,51,18,6.1
BROOKLYN GENERATION SCHOOL                      ,1145,153.45,19.93333333,331,5.7,1.5,88.8,0.9,8.5,61,39,18,6
BROOKLYN THEATRE ARTS HIGH SCHOOL               ,1118,153.45,26.06666667,382,5,0.5,84.3,2.1,12.8,36.1,63.9,18,5.8
KURT HAHN EXPEDITIONARY LEARNING SCHOOL         ,1092,153.45,26.125,294,9.5,0,88.1,1.7,8.8,64.3,35.7,18,6.3
VICTORY COLLEGIATE HIGH SCHOOL                  ,1143,153.45,25.01111111,325,5.2,0.3,93.5,0,5.8,48.9,51.1,18,6.6
ARTS & MEDIA PREPARATORY ACADEMY                ,1080,153.45,20.05,293,3.4,0.7,89.4,0,9.6,47.4,52.6,18,6.2
HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND ME,1183,153.45,19.625,310,8.1,1.3,85.8,1.3,10.6,66.5,33.5,18,6.6
CULTURAL ACADEMY FOR THE ARTS AND SCIENCES      ,1169,153.45,18.37272727,299,7.7,1.3,86.6,0.7,11.4,51.5,48.5,18,6
HIGH SCHOOL FOR MEDICAL PROFESSIONS             ,1159,153.45,26.95,460,3.3,1.7,85,0.2,12.4,21.5,78.5,18,6.3
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT    ,1111,153.45,19.6,274,6.9,2.2,83.9,1.5,12,54.7,45.3,18,6.1
URBAN ACTION ACADEMY                            ,1135,153.45,20.5625,305,11.1,2.3,82.3,3.9,10.5,62.6,37.4,18,6.1
EAST NEW YORK FAMILY ACADEMY                    ,1242,153.45,19.12105263,433,0.5,0.5,67.2,1.4,30.3,43.2,56.8,19,6.7
FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY       ,1023,153.45,23.52,381,5,1,73.8,1.6,23.4,81.1,18.9,19,5.4
HIGH SCHOOL FOR CIVIL RIGHTS                    ,1054,153.45,26.16666667,401,9.7,2,74.3,1,22.2,54.4,45.6,19,6.4
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL      ,1149,153.45,24.61428571,453,4.9,0.7,81.5,0,17.4,51.4,48.6,19,6.5
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SC,1106,153.45,23.99375,380,4.2,2.1,81.1,1.3,14.2,36.8,63.2,19,5.3
MULTICULTURAL HIGH SCHOOL                       ,887,39,23.80833333,406,94.6,0,0.2,0,99.8,49.8,50.2,19,7.1
TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH,1193,18,26.97142857,1317,2.4,4.4,70.5,1.5,23.2,84.1,15.9,19,5.3
ACADEMY OF INNOVATIVE TECHNOLOGY                ,1096,153.45,23.31818182,404,12.1,7.4,38.4,3,50.2,70.3,29.7,19,6.4
BROOKLYN LAB SCHOOL                             ,1108,153.45,25.29230769,397,15.4,1.5,30.7,1.3,65,58.4,41.6,19,5.6
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL     ,1129,10,23.84705882,437,16.2,8.2,16.9,1.4,73.2,47.8,52.2,19,6.6
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIG,1102,153.45,25.27857143,590,5.3,0.5,71.9,0.7,25.4,29.8,70.2,19,5.8
THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS ,1157,153.45,25.84166667,311,9,10,54.3,0.6,34.7,37.6,62.4,19,6.7
NEW UTRECHT HIGH SCHOOL                         ,1272,95,27.88421053,3276,23,35.9,5.5,30.5,28,59.3,40.7,20,7
HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNO,1323,123,30.43333333,1280,4.9,19.2,9.5,16.8,54.1,53.5,46.5,20,7
FORT HAMILTON HIGH SCHOOL                       ,1306,331,28.31,4275,21.2,30.3,5,34.2,30.2,53.4,46.6,20,7.1
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL           ,1244,186,27.91428571,3108,39.4,44.2,9.4,18.6,27.3,58.4,41.6,20,6.8
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE      ,1223.438806,153.45,12.575,374,15.5,35,33.7,9.1,21.9,0,100,20,7.7
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE          ,1026,153.45,17.20666667,343,89.2,42,14,22.7,21,58.9,41.1,21,7.6
RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES   ,1237,153.45,25.92352941,481,11,12.3,24.1,37.6,25.8,53.6,46.4,21,6.3
HIGH SCHOOL OF SPORTS MANAGEMENT                ,1164,153.45,26.39285714,370,2.4,2.7,68.4,5.9,23,88.9,11.1,21,6
ABRAHAM LINCOLN HIGH SCHOOL                     ,1226,18,27.66842105,2595,16.7,19.3,35.1,25.1,20.1,56.4,43.6,21,6
KINGSBOROUGH EARLY COLLEGE SCHOOL               ,1223.438806,153.45,24.63,472,2.8,7.2,25,44.7,22.7,57.8,42.2,21,6.4
EDWARD R. MURROW HIGH SCHOOL                    ,1431,307,30.315,4022,9.1,27.1,24.1,30.8,17.6,42.4,57.6,21,7
JOHN DEWEY HIGH SCHOOL                          ,1262,154,28.37,2168,19.6,39.1,30.6,10.8,19.1,51.5,48.5,21,6.4
LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC     ,1124,153.45,24.25,251,4.8,4.8,44.6,20.3,29.9,51,49,21,6.2
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEAD,1079,153.45,21.15714286,226,21.7,19.5,19.5,19.5,41.2,51.3,48.7,21,6.4
WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION ,1184,153.45,25.62941176,956,3.1,3.2,74.9,6.9,14,78,22,21,5.5
BROOKLYN STUDIO SECONDARY SCHOOL                ,1313,13,26.58421053,876,8.4,12.8,7.2,56.5,23.1,50.1,49.9,21,6.5
MIDWOOD HIGH SCHOOL                             ,1473,758,31.96315789,3842,3.7,31.7,35.2,21.2,11.7,45.3,54.7,22,6.5
JAMES MADISON HIGH SCHOOL                       ,1350,188,30.49444444,3076,13.2,20.8,17.9,46.4,14.5,54.4,45.6,22,6.5
LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES  ,1627,382,31.58235294,1022,0.5,13.5,9.4,65.6,10.8,41.2,58.8,22,7.6
BROOKLYN COLLEGE ACADEMY                        ,1352,153.45,26.27058824,630,0.2,5.9,77.9,2.7,12.4,36.3,63.7,22,7.5
BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL     ,1185,153.45,24.79285714,580,1.6,1.9,88.1,0.5,8.3,50.7,49.3,23,6.1
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL      ,1091,153.45,23,365,1.4,0.8,88.5,0,10.4,48.5,51.5,23,6.2
TEACHERS PREPARATORY HIGH SCHOOL                ,1196,153.45,25.10625,566,1.8,0.7,84.8,1.2,13.1,34.1,65.9,23,6.4
ACADEMY OF FINANCE AND ENTERPRISE               ,1280,40,24.30588235,420,7.9,17.9,9.8,15.2,56.4,49.3,50.7,24,7.3
HIGH SCHOOL OF APPLIED COMMUNICATION            ,1219,153.45,22.07647059,388,10.3,13.9,12.9,16,57.2,43.8,56.2,24,6.8
CIVIC LEADERSHIP ACADEMY                        ,1240,153.45,23.35,449,9.1,7.8,9.1,3.3,79.3,44.5,55.5,24,7.3
PAN AMERICAN INTERNATIONAL HIGH SCHOOL          ,951,153.45,19.72666667,366,91.3,0,0,0,100,47.8,52.2,24,7.3
BARD HIGH SCHOOL EARLY COLLEGE II               ,1663,153.45,20.47142857,631,0.3,32,16.2,30.3,21.2,39.3,60.7,24,7.9
NEWTOWN HIGH SCHOOL                             ,1203,117,27.31111111,2572,30,24.6,9.3,5.3,60.3,57.5,42.5,24,6.4
GROVER CLEVELAND HIGH SCHOOL                    ,1211,112,26.985,2069,21.6,9.1,4.4,22.7,63.5,55,45,24,6.4
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNIT,1177,153.45,18.5,497,0.2,7.8,9.5,11.3,71.4,52.9,47.1,24,7.3
INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY,1064,153.45,17.00769231,493,76.5,43,2,10.3,44,46,54,24,8
HIGH SCHOOL FOR ARTS AND BUSINESS               ,1174,73,27.40555556,828,13.3,9.1,8.3,3,79.2,43.1,56.9,24,7
ROBERT F. WAGNER JR.                            ,1330,153.45,26.5,601,3.8,20.8,6.2,10.5,62.4,46.6,53.4,24,7.2
QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL     ,1270,20,28.45625,1368,6.4,10.2,6.9,8.7,74.2,60.3,39.7,24,6.6
AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOO,1364,61,28.16111111,2201,3.2,27.1,6.8,10.1,55.3,85.3,14.7,24,6.9
THE QUEENS SCHOOL OF INQUIRY                    ,1396,153.45,24.58666667,587,2.7,40.2,17,18.1,24.2,46.7,53.3,25,7
FLUSHING INTERNATIONAL HIGH SCHOOL              ,1049,153.45,19.19230769,422,88.6,64.5,1.2,1.7,32.7,57.3,42.7,25,7.4
EASTWEST SCHOOL OF INTERNATIONAL STUDIES       ,1271,153.45,28.93333333,616,13.6,62.7,14.8,3.4,17.9,54.1,45.9,25,6.7
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SC,1441,18,25.04736842,595,0.8,19.3,8.4,51.6,20.3,42.2,57.8,25,6.9
JOHN BOWNE HIGH SCHOOL                          ,1243,116,29.385,3660,24.7,34.3,19.2,5.2,40.7,49.2,50.8,25,6.8
FLUSHING HIGH SCHOOL                            ,1216,136,30.02631579,3113,20,19.9,26.5,3.2,49.8,55.8,44.2,25,5.6
TOWNSEND HARRIS HIGH SCHOOL                     ,1910,625,29.3625,1140,0,55.5,5.9,24.6,12.9,28.9,71.1,25,7.8
ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL         ,1330,43,30.31666667,721,7.5,28.4,11.5,24.5,35.4,53.8,46.2,25,7.1
BENJAMIN N. CARDOZO HIGH SCHOOL                 ,1514,796,31.10526316,3912,6.1,45.7,18.4,16.8,18.6,47.4,52.6,26,6.5
FRANCIS LEWIS HIGH SCHOOL                       ,1474,583,30.23684211,4152,13.2,51.9,8.3,15.5,24.1,49.2,50.8,26,8.8
MARTIN VAN BUREN HIGH SCHOOL                    ,1172,15,27.125,2390,9.9,24.1,56.4,2.9,15.1,54.3,45.7,26,5
BAYSIDE HIGH SCHOOL                             ,1449,413,32.40526316,3308,5.7,45.2,12.7,19.6,22.3,49.4,50.6,26,7.1
QUEENS HIGH SCHOOL OF TEACHING                  ,1279,153.45,28.98333333,1196,2.5,23.8,46.3,12.3,16.8,45.8,54.2,26,6.4
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL       ,1145,153.45,24.56428571,445,4,3.8,67,1.3,27,52.6,47.4,27,6
CHANNEL VIEW SCHOOL FOR RESEARCH                ,1252,18,26.38235294,636,1.3,5.7,55.2,11.2,27.5,51.1,48.9,27,7.1
QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH     ,1156,153.45,23.27692308,310,10.6,4.2,60.3,4.5,30,54.5,45.5,27,6.3
ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION A,1265,153.45,30.11666667,578,3.6,26.8,7.6,21.8,42.6,48.1,51.9,27,6.6
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD S,1094,153.45,23.32727273,527,10.6,9.1,52.6,3.2,34.2,43.8,56.2,27,6.2
THE SCHOLARS ACADEMY                            ,1532,57,25.93846154,1062,0,22,19.2,41.6,15.9,43.9,56.1,27,7.9
AUGUST MARTIN HIGH SCHOOL                       ,1108,153.45,28.77777778,1029,4.3,6.2,79.9,1.7,11.5,55.2,44.8,27,5
RICHMOND HILL HIGH SCHOOL                       ,1154,55,29.95,2585,17.4,32.9,16.8,3.2,46.4,53,47,27,6
JOHN ADAMS HIGH SCHOOL                          ,1192,33,27.31578947,3386,16,27.5,27.7,3.6,37.1,54.5,45.5,27,6.2
THE HIGH SCHOOL FOR CONSTRUCTION TRADES         ,1345,21,26.84705882,924,0.4,30.7,11.3,15.4,41.6,67.3,32.7,27,6.6
YORK EARLY COLLEGE ACADEMY                      ,1223.438806,153.45,25.10909091,489,0,23.5,64.2,0.6,10.2,51.1,48.9,28,6.6
QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL       ,1265,153.45,22.52857143,529,8.1,27,49,3,18.5,49.9,50.1,28,6.9
HILLSIDE ARTS & LETTERS ACADEMY                 ,1223.438806,153.45,22.75,200,12.5,28,39,6.5,21,47,53,28,6.4
FOREST HILLS HIGH SCHOOL                        ,1407,526,31.20588235,3834,8.9,26.5,9,33.7,30.2,48.1,51.9,28,6.7
HILLCREST HIGH SCHOOL                           ,1194,50,28.88571429,3103,15,36.5,36.6,2.9,22.8,46.1,53.9,28,7
THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION ,1372,100,29.61666667,2252,1.4,50.9,23.7,3.2,21.1,65.1,34.9,28,6.7
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHO,1538,57,27.61111111,783,0.1,36.5,44.8,2.7,15.7,38.1,61.9,28,6.9
QUEENS METROPOLITAN HIGH SCHOOL                 ,1223.438806,153.45,29.55,663,3.6,12.1,4.8,40.4,38.6,49.6,50.4,28,6.2
QUEENS HIGH SCHOOL FOR SCIENCES AT YORK COLLEGE ,1868,275,26.00666667,418,0.2,74.4,10.5,6.7,7.9,56.5,43.5,28,7.2
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFET,1196,153.45,29.34375,536,2.1,8.4,73.7,1.3,15.1,53,47,28,6.1
YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS          ,1316,153.45,21.87142857,510,2.7,21,57.3,2.4,18.4,0,100,28,6.2
QUEENS PREPARATORY ACADEMY                      ,1099,153.45,25.65333333,441,4.5,5.2,84.4,0.9,8.2,56,44,29,6.1
PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE B,1173,153.45,25.775,555,2.3,2.2,94.2,0.7,2.9,53.3,46.7,29,5.3
EXCELSIOR PREPARATORY HIGH SCHOOL               ,1202,153.45,25.27777778,443,2.3,4.3,82.8,0.5,9.7,56.9,43.1,29,5.7
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCI,1287,153.45,28.26875,474,1.7,9.3,73.8,1.3,14.1,47.3,52.7,29,5.9
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD,1100,153.45,23.8375,473,1.9,3.4,84.1,0.8,10.4,43.1,56.9,29,7
CAMBRIA HEIGHTS ACADEMY                         ,1223.438806,153.45,22.3,147,2,3.4,87.1,2,7.5,55.1,44.9,29,7.1
MATH SCIENCE RESEARCH AND TECHNOLOGY MAGNE      ,1220,8,23.525,412,5.1,6.8,79.6,0.7,11.9,60.4,39.6,29,6
HUMANITIES & ARTS MAGNET HIGH SCHOOL            ,1151,153.45,28.20769231,481,3.5,4,85.9,1.5,8.5,42.8,57.2,29,5.5
YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA         ,1223.438806,153.45,21.57142857,495,5.5,39.2,4.2,16.2,40.4,0,100,30,8.1
ACADEMY FOR CAREERS IN TELEVISION AND FILM      ,1255,153.45,22.36363636,419,2.9,6,20.5,18.9,53.5,53.2,46.8,30,7.3
WILLIAM CULLEN BRYANT HIGH SCHOOL               ,1275,97,29.25,2945,17.9,28.9,7.3,14.5,48.8,53.7,46.3,30,6.6
LONG ISLAND CITY HIGH SCHOOL                    ,1218,169,25,3386,13.2,13.2,11.4,12.5,62.7,51.3,48.7,30,5.6
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL    ,1494,38,27.88,756,0.1,8.7,16.9,46.3,27.2,30,70,30,7
INFORMATION TECHNOLOGY HIGH SCHOOL              ,1239,13,26.83529412,917,9.6,15.6,18.1,9.4,56.6,71.8,28.2,30,6.5
NEWCOMERS HIGH SCHOOL                           ,1127,140,26.97647059,932,90.3,48.3,5.6,2.6,43.5,53.2,46.8,30,7.4
ACADEMY OF AMERICAN STUDIES                     ,1470,119,31.09473684,704,5.7,29.1,6.8,29.4,34.7,45,55,30,6.8
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION       ,1636,153.45,20.46923077,440,0,34.8,3.2,37.3,24.3,44.8,55.2,30,8
CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES       ,1353,153.45,25.66875,532,0.2,11.5,12,58.5,17.9,41.5,58.5,31,6.9
MCCOWN EXPEDITIONARY LEARNING SCHOOL            ,1195,153.45,24.35,408,1,5.9,15.7,60,17.6,52,48,31,6.4
MICHAEL J. PETRIDES HIGH SCHOOL                 ,1426,66,30.27222222,1308,1.6,8.1,18.8,55.9,16.9,49.2,50.8,31,6.7
NEW DORP HIGH SCHOOL                            ,1277,62,28.2,2658,5.9,7,12.1,53.3,27.3,52.5,47.5,31,6.1
PORT RICHMOND HIGH SCHOOL                       ,1279,76,28.07894737,2151,5.3,6.8,30.9,24.2,37.6,54.8,45.2,31,5.2
CURTIS HIGH SCHOOL                              ,1301,90,27.31176471,2552,6.1,7.3,38.4,21.8,31.9,46.4,53.6,31,6
TOTTENVILLE HIGH SCHOOL                         ,1418,206,30.2,3875,1.4,5.4,2.1,82.1,9.9,49.6,50.4,31,7.1
SUSAN E. WAGNER HIGH SCHOOL                     ,1388,175,29.24736842,3243,3.4,14.6,11.3,49.4,24.1,50.8,49.2,31,6.7
RALPH R. MCKEE CAREER AND TECHNICAL HIGH SCHOOL ,1235,153.45,28.28,675,3.6,4.6,40.3,21.6,33.2,67.1,32.9,31,6
STATEN ISLAND TECHNICAL HIGH SCHOOL             ,1953,809,29.58823529,1104,0.1,31.8,1.1,61.3,5.3,57,43,31,8.2
ACADEMY FOR ENVIRONMENTAL LEADERSHIP            ,1098,153.45,22.40625,362,32.9,0.6,21,0.8,77.1,50,50,32,5.8
EBC HIGH SCHOOL FOR PUBLIC SERVICEBUSHWICK     ,1154,13,22.95882353,606,15.3,1.7,9.2,0.7,88.1,52.1,47.9,32,6.4
BUSHWICK SCHOOL FOR SOCIAL JUSTICE              ,1035,153.45,22.76,434,18.2,0.5,28.3,1.8,68.7,48.4,51.6,32,6.5
ACADEMY OF URBAN PLANNING                       ,1060,10,23.9,398,23.9,1.5,26.4,1,70.4,54.5,45.5,32,6.4
ALL CITY LEADERSHIP SECONDARY SCHOOL            ,1315,153.45,17.79375,263,2.7,5.3,12.9,1.5,79.5,52.1,47.9,32,8.9
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELL,1055,18,25.06,462,18.2,0.9,21.2,0,77.3,53.2,46.8,32,6.6
