Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,1240,76,26.97058824,2073,10.2,10.5,39.9,2.3,46.6,49.1,50.9,2,5.7
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL          ,1239,29,26.05,724,9.8,5.1,22.7,1.8,69.9,40.6,59.4,2,7.1
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS  ,1253,153.45,23.9,217,0.5,1.4,47.9,7.4,42.4,21.2,78.8,2,5.9
MANHATTAN BRIDGES HIGH SCHOOL                   ,1058,59,23.475,541,72.6,0.2,0,0,99.8,51.4,48.6,2,7.2
NEW DESIGN HIGH SCHOOL                          ,1168,153.45,22.63846154,423,5.4,3.8,30.3,2.6,62.2,38.3,61.7,2,7
HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES   ,1424,89,21.81764706,353,38.2,89.5,3.4,2.3,4,51.3,48.7,2,6.611666667
NEW YORK HARBOR SCHOOL                          ,1212,153.45,24.01333333,430,4.2,2.3,37.4,10.2,49.3,60.9,39.1,2,6.8
RICHARD R. GREEN HIGH SCHOOL OF TEACHING        ,1195,40,26.08823529,610,6.4,2.3,35.1,2.3,59.3,32.6,67.4,2,6.6
THE HIGH SCHOOL OF FASHION INDUSTRIES           ,1257,26,30.60833333,1599,2.8,3.8,39.1,4.1,52.3,7.3,92.7,2,6.5
HUMANITIES PREPARATORY ACADEMY                  ,1255,153.45,23.8,192,1,7.3,21.9,11.5,57.8,42.7,57.3,2,7
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,1207,13,25.2,466,6.2,7.1,29.6,1.5,60.5,65,35,2,6.5
ART AND DESIGN HIGH SCHOOL                      ,1315,33,28.8875,1344,1.6,9,26.8,12.6,51,46.7,53.3,2,6.7
LIFE SCIENCES SECONDARY SCHOOL                  ,1236,10,23.92105263,717,7.9,3.3,28.6,2.4,64.3,51.6,48.4,2,5.9
HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY    ,1132,153.45,24.1375,418,14.4,1,37.3,1.4,58.9,55.7,44.3,3,6.5
THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES     ,1144,153.45,19.80769231,366,12.8,2.2,37.4,3,56,57.9,42.1,3,6.9
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS     ,1223.438806,153.45,10,283,25.1,1.8,19.8,1.8,76,56.9,43.1,3,6.3
THE GLOBAL LEARNING COLLABORATIVE               ,1223.438806,153.45,24.98,358,19.3,3.6,27.7,5.9,62.6,51.4,48.6,3,7
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & V,1109,153.45,23.6,516,7.4,0.4,59.9,0.8,38.8,38.4,61.6,3,6
FRANK MCCOURT HIGH SCHOOL                       ,1223.438806,153.45,25,219,0.9,6.8,18.3,37,37,46.6,53.4,3,7.3
BEACON HIGH SCHOOL                              ,1744,140,30.78333333,1162,0.2,8.9,14.6,49.8,22.8,39,61,3,7.8
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART,1707,790,31.30625,2605,0.2,19.6,12.9,49.2,16.6,26.4,73.6,3,7.1
HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTI,1196,153.45,23.41666667,541,10.5,1.3,46.2,1.8,48.1,40.1,59.9,3,6.2
HIGH SCHOOL OF ARTS AND TECHNOLOGY              ,1277,6,28.07142857,603,10.4,5,34.8,2.3,57.2,67.7,32.3,3,6.4
